id|name|description|area|type|tier_icon|client_sort_id
900|Defeat a Rock Crab in the Fremennik Province|Defeat a Rock Crab in the Fremennik Province.|Fremennik Province|Combat|2317|142
905|Defeat a Cockatrice in the Fremennik Province|Defeat a Cockatrice in the Fremennik Province.|Fremennik Province|Combat|2317|143
909|Defeat a Pyrefiend in the Fremennik Province|Defeat a Pyrefiend in the Fremennik Province.|Fremennik Province|Combat|2317|144
914|Defeat a Troll in the Fremennik Province|Defeat a Troll in the Fremennik Province.|Fremennik Province|Combat|2317|145
943|Complete the Easy Fremennik Diary|Complete all of the easy tasks in the Fremennik Achievement Diary.|Fremennik Province|Achievement|2317|146
958|Receive an Agility Arena Ticket|Receive an Agility Arena Ticket from the Brimhaven Agility Arena.|Karamja|Minigame|2317|147
964|Catch a Karambwanji|Catch a Karambwanji on Karamja.|Karamja|Skill|2317|148
969|Enter your Player Owned House|Enter your Player Owned House.|Global|Skill|2317|149
970|Defeat a TzHaar|Defeat any TzHaar in Mor Ul Rek.|Karamja|Combat|2317|150
980|Defeat a Greater Demon on Karamja|Defeat a Greater Demon on Karamja.|Karamja|Combat|2317|151
994|Complete the Easy Karamja Diary|Complete all of the easy tasks in the Karamja Achievement Diary.|Karamja|Achievement|2317|152
1002|Pick a Pineapple on Karamja|Pick a Pineapple on Karamja.|Karamja|Other|2317|153
1006|Enter the Brimhaven Dungeon|Enter the Brimhaven Dungeon.|Karamja|Other|2317|154
1013|Catch a Crimson Swift in the Feldip Hills|Catch a Crimson Swift in the Feldip Hills.|Kandarin|Skill|2317|155
1021|Complete a Fishing Trawler Game|Complete a Fishing Trawler game at Port Khazard.|Kandarin|Minigame|2317|156
1031|Defeat a Tortoise With Riders in Kandarin|Defeat a Tortoise with riders in Kandarin.|Kandarin|Combat|2317|157
1066|Complete Tower of Life|Complete the Tower of Life quest.|Kandarin|Quest|2317|158
1068|Complete Sea Slug|Complete the Sea Slug quest.|Kandarin|Quest|2317|159
1070|Brimstail Rune Essence Mine teleport|Have Brimstail teleport you to the Rune Essence Mine.|Kandarin|Other|2317|160
1072|Equip a Marksman Chompy Hat|Equip a Marksman Chompy Hat.|Kandarin|Other|2317|161
1082|Complete the Easy Kandarin Diary|Complete all of the easy tasks in the Kandarin Achievement Diary.|Kandarin|Achievement|2317|162
1086|Complete the Easy Western Provinces Diary|Complete all of the easy tasks in the Western Provinces Achievement Diary.|Global|Achievement|2317|163
1103|Move Your House to Taverley|Move your Player Owned House to Taverley.|Asgarnia|Skill|2317|164
1104|Receive a Slayer Task From Turael or Spria|Receive a Slayer Task from Turael in Burthorpe or Spria in Draynor.|Asgarnia|Combat|2317|165
1109|Defeat a Troll in Asgarnia|Defeat a Troll in Asgarnia.|Asgarnia|Combat|2317|166
1126|Defeat a Blue Dragon in Asgarnia|Defeat a Blue Dragon in Asgarnia.|Asgarnia|Combat|2317|167
1128|Defeat a Black Demon in Asgarnia|Defeat a Black Demon in Asgarnia.|Asgarnia|Combat|2317|168
1138|Complete the Easy Falador Diary|Complete all of the easy tasks in the Falador Achievement Diary.|Asgarnia|Achievement|2317|169
1144|Unlock a Gate in Taverley Dungeon|Unlock a gate in Taverley Dungeon using the Dusty Key.|Asgarnia|Other|2317|170
1150|Complete a Game of Novice Pest Control|Complete a game of Novice Pest Control.|Asgarnia|Minigame|2317|171
1154|Complete Room 1 of Pyramid Plunder|Search the Golden Chest in Room 1 of Pyramid Plunder in Sophanem.|Kharidian Desert|Minigame|2317|172
1155|Complete Room 2 of Pyramid Plunder|Search the Golden Chest in Room 2 of Pyramid Plunder in Sophanem.|Kharidian Desert|Minigame|2317|173
1165|Pick a Winter Sq'irk|Pick a Winter Sq'irk in the Sorceress's Garden.|Kharidian Desert|Minigame|2317|174
1169|Turn in a Winter Sq'irkjuice to Osman|Turn in a Winter Sq'irkjuice to Osman in Al Kharid.|Kharidian Desert|Minigame|2317|175
1175|Complete the Al Kharid Agility Course|Complete a lap of the Al Kharid Rooftop Agility Course.|Kharidian Desert|Skill|2317|176
1177|Craft a Fire Rune|Craft a Fire Rune from Essence at the Fire Altar.|Kharidian Desert|Skill|2317|177
1184|Defeat an Al Kharid Warrior|Defeat an Al Kharid Warrior.|Kharidian Desert|Combat|2317|178
1201|Complete the Easy Desert Diary|Complete all of the easy tasks in the Desert Achievement Diary.|Kharidian Desert|Achievement|2317|179
1209|Tan a Cow Hide in the Kharidian Desert|Tan a Cow Hide in the Kharidian Desert.|Kharidian Desert|Other|2317|180
1221|Complete The Golem|Complete The Golem quest.|Kharidian Desert|Quest|2317|181
1237|Craft a Snelm|Craft any Snelm.|Morytania|Skill|2317|182
1240|Receive a Slayer Task From Mazchna|Receive a Slayer Task from Mazchna in Canifis.|Morytania|Combat|2317|183
1244|Defeat a Werewolf in Morytania|Defeat a Werewolf in Morytania.|Morytania|Combat|2317|184
1248|Defeat One of Fenkenstrain's Experiments|Defeat one of Fenkenstrain's Experiments in the Experiment Cave.|Morytania|Combat|2317|185
1252|Defeat a Ghast|Defeat a Ghast in Mort Myre.|Morytania|Combat|2317|186
1280|Complete the Easy Morytania Diary|Complete all of the easy tasks in the Morytania Achievement Diary.|Morytania|Achievement|2317|187
1284|Complete an Easy Temple Trek|Complete an easy Temple Trek.|Morytania|Minigame|2317|188
1287|Visit Port Phasmatys|Visit Port Phasmatys.|Morytania|Other|2317|189
1293|Obtain a Rune Crossbow From a Lucky Impling|Obtain a Rune Crossbow from a Lucky Impling in Morytania.|Morytania|Other|2317|190
1298|Sacrifice Some Bones at the Chaos Temple|Sacrifice some Bones at the Western Chaos Temple altar.|Wilderness|Skill|2317|191
1311|Use the Abyss|Use the Abyss to access a Runecrafting Altar.|Wilderness|Skill|2317|192
1315|Defeat a Lava Dragon in the Wilderness|Defeat a Lava Dragon in the Wilderness.|Wilderness|Combat|2317|193
1319|Defeat a Fire Giant in the Wilderness|Defeat a Fire Giant in the Wilderness.|Wilderness|Combat|2317|194
1323|Defeat a Chaos Dwarf in the Wilderness|Defeat a Chaos Dwarf in the Wilderness.|Wilderness|Combat|2317|195
1327|Defeat a Green Dragon in the Wilderness|Defeat a Green Dragon in the Wilderness.|Wilderness|Combat|2317|196
1356|Complete the Easy Wilderness Diary|Complete all of the easy tasks in the Wilderness Achievement Diary.|Wilderness|Achievement|2317|197
1361|Use a Lever to Teleport to Edgeville|Use the lever near the Mage Arena to teleport to Edgeville.|Wilderness|Other|2317|198
1363|Pray at the Southern Chaos Temple|Pray at the altar in the Southern Chaos Temple.|Wilderness|Other|2317|199
1364|Pray at the Western Chaos Temple|Pray at the altar in the Western Chaos Temple.|Wilderness|Other|2317|200
1365|Enter the Wilderness Resource Area|Enter the Wilderness Resource Area.|Wilderness|Other|2317|201
1367|Enter the Wilderness God Wars Dungeon|Enter the Wilderness God Wars Dungeon.|Wilderness|Other|2317|202
1368|Use the Bank at the Mage Arena|Use the Bank at the Mage Arena.|Wilderness|Other|2317|203
1375|Take a Carpet Ride from Pollnivneach to Sophanem|Take a carpet ride from Pollnivneach to Sophanem.|Kharidian Desert|Other|2317|204
1377|Complete the Easy Varrock Diary|Complete all of the easy tasks in the Varrock Achievement Diary.|Misthalin|Achievement|2317|205
1383|Complete the Easy Ardougne Diary|Complete all of the easy tasks in the Ardougne Achievement Diary.|Kandarin|Achievement|2317|206
1402|Obtain a Casket from Fishing|Obtain a Casket from Fishing.|Global|Skill|2317|207
1403|Steal Some Silk|Steal some silk from a silk stall.|Global|Skill|2317|208
1404|Equip some Steel armour|Equip either a Steel Platebody, some Steel Platelegs or a Steel Full Helm.|Global|Other|2317|209
1405|Equip some Black armour|Equip either a Black Platebody, some Black Platelegs or a Black Full Helm.|Global|Other|2317|210
1406|Equip a Willow Shield|Equip a Willow Shield.|Global|Other|2317|211
1407|Equip an Imcando Hammer|Equip an Imcando hammer.|Asgarnia|Other|2317|212
1408|Open an Ornate Lockbox|Open an Ornate Lockbox from the Camdozaal Vault.|Asgarnia|Minigame|2317|213
1435|1 Easy Combat Achievement|Complete an Easy Combat Achievement.|Global|Achievement|2317|214
1436|5 Easy Combat Achievements|Complete 5 Easy Combat Achievements.|Global|Achievement|2317|215
1478|Open a Bronze Chest|Open a Bronze Chest from Shades of Mort'ton.|Morytania|Minigame|2317|216
1495|Pet the Museum Camp dog|Pet the dog in the Museum Camp on Fossil Island.|Misthalin|Other|2317|217
1509|Complete Fishing Contest|Complete the Fishing Contest Quest.|Kandarin|Quest|2317|218
501|Achieve Your First Level 30|Reach level 30 in any skill.|Global|Skill|2318|219
502|Achieve Your First Level 40|Reach level 40 in any skill.|Global|Skill|2318|220
503|Achieve Your First Level 50|Reach level 50 in any skill.|Global|Skill|2318|221
512|Reach Total Level 750|Reach a Total Level of 750.|Global|Skill|2318|222
513|Reach Total Level 1000|Reach a Total Level of 1000.|Global|Skill|2318|223
514|Reach Total Level 1250|Reach a Total Level of 1250.|Global|Skill|2318|224
521|Reach Base Level 5|Reach level 5 in every skill.|Global|Skill|2318|225
522|Reach Base Level 10|Reach level 10 in every skill.|Global|Skill|2318|226
523|Reach Base Level 20|Reach level 20 in every skill.|Global|Skill|2318|227
524|Reach Base Level 30|Reach level 30 in every skill.|Global|Skill|2318|228
525|Reach Base Level 40|Reach level 40 in every skill.|Global|Skill|2318|229
526|Reach Base Level 50|Reach level 50 in every skill.|Global|Skill|2318|230
711|Reach Combat Level 50|Reach Combat Level 50.|Global|Combat|2318|231
712|Reach Combat Level 75|Reach Combat Level 75.|Global|Combat|2318|232
1498|Max out 1 Fragment|Achieve the maximum level on 1 Fragment.|Global|Other|2318|233
1501|Activate 1 Set Effect|Fully activate 1 Set Effect with your equipped Fragments.|Global|Other|2318|234
4|Complete Depths of Despair|Complete the Depths of Despair quest.|Kourend & Kebos|Quest|2318|235
5|Complete Tale Of The Righteous|Complete the Tale of the Righteous quest.|Kourend & Kebos|Quest|2318|236
6|Complete In Search Of Knowledge|Complete the mini-quest 'In Search Of Knowledge'.|Kourend & Kebos|Quest|2318|237
7|Complete Architectural Alliance|Complete the mini-quest 'Architectural Alliance'.|Kourend & Kebos|Quest|2318|238
19|Equip a Trimmed Amulet|Equip a Trimmed Amulet.|Global|Minigame|2318|239
30|Fill 3 Elite Clue Collection Log Slots|Fill 3 slots in the Elite Clue section of the Collection Log.|Global|Minigame|2318|240
49|Fill 3 Hard Clue Collection Log Slots|Fill 3 slots in the Hard Clue section of the Collection Log.|Global|Minigame|2318|241
57|Fill 5 Medium Clue Collection Log Slots|Fill 5 slots in the Medium Clue section of the Collection Log.|Global|Minigame|2318|242
76|Fill 5 Easy Clue Collection Log Slots|Fill 5 slots in the Easy Clue section of the Collection Log.|Global|Minigame|2318|243
84|Fill 5 Beginner Clue Collection Log Slots|Fill 5 slots in the Beginner Clue section of the Collection Log.|Global|Minigame|2318|244
121|Gain 5 Unique Items From Hard Clues|Gain 5 unique items from Hard Clue Scroll Reward Caskets.|Global|Minigame|2318|245
130|Gain 10 Unique Items From Medium Clues|Gain 10 unique items from Medium Clue Scroll Reward Caskets.|Global|Minigame|2318|246
139|Gain 10 Unique Items From Easy Clues|Gain 10 unique items from Easy Clue Scroll Reward Caskets.|Global|Minigame|2318|247
148|Gain 10 Unique Items From Beginner Clues|Gain 10 unique items from Beginner Clue Scroll Reward Caskets.|Global|Minigame|2318|248
156|Gain a Unique Item From a Hard Clue|Gain a unique item from a Hard Clue Scroll Reward Casket.|Global|Minigame|2318|249
166|Gain a Unique Item From a Medium Clue|Gain a unique item from a Medium Clue Scroll Reward Casket.|Global|Minigame|2318|250
183|Complete a Hard Clue Scroll|Complete a Hard Clue Scroll by opening a Reward Casket.|Global|Minigame|2318|251
193|Complete a Medium Clue Scroll|Complete a Medium Clue Scroll by opening a Reward Casket.|Global|Minigame|2318|252
201|Defeat an Adult Chromatic Dragon|Defeat either an adult Green Dragon, Blue Dragon, Red Dragon or Black Dragon.|Global|Combat|2318|253
211|Defeat a Lesser Demon|Defeat a Lesser Demon.|Global|Combat|2318|254
233|1 Wintertodt Kill|Help the pyromancers subdue the Wintertodt.|Kourend & Kebos|Skill|2318|255
234|25 Wintertodt Kills|Help the pyromancers subdue the Wintertodt 25 times.|Kourend & Kebos|Skill|2318|256
235|50 Wintertodt Kills|Help the pyromancers subdue the Wintertodt 50 times.|Kourend & Kebos|Skill|2318|257
236|75 Wintertodt Kills|Help the pyromancers subdue the Wintertodt 75 times.|Kourend & Kebos|Skill|2318|258
245|Complete 1 Farming Contract|Complete a Farming Contract for Guildmaster Jane in the Farming Guild.|Kourend & Kebos|Skill|2318|259
246|Complete 25 Farming Contracts|Complete 25 Farming Contracts for Guildmaster Jane in the Farming Guild.|Kourend & Kebos|Skill|2318|260
247|Complete 50 Farming Contracts|Complete 50 Farming Contracts for Guildmaster Jane in the Farming Guild.|Kourend & Kebos|Skill|2318|261
248|Complete 75 Farming Contracts|Complete 75 Farming Contracts for Guildmaster Jane in the Farming Guild.|Kourend & Kebos|Skill|2318|262
249|Complete 100 Farming Contracts|Complete 100 Farming Contracts for Guildmaster Jane in the Farming Guild.|Kourend & Kebos|Skill|2318|263
258|Equip a Piece of a Mystic Set|Equip any piece of any Mystic robe set.|Global|Combat|2318|264
272|Plant 100 Golovanova Seeds|Plant 100 Golovanova seeds in the Tithe Farm minigame.|Kourend & Kebos|Skill|2318|265
275|Enter the Farming Guild|Enter the Farming Guild in the Kebos Lowlands.|Kourend & Kebos|Skill|2318|266
278|Serve 20 Stews in the Mess Hall|Make and serve 20 stews in the Mess Hall in Hosidius, whilst having at least 30% appreciation.|Kourend & Kebos|Skill|2318|267
281|Pickpocket a Master Farmer|Successfully pickpocket from a master farmer.|Global|Skill|2318|268
282|Enter the Woodcutting Guild|Enter the Woodcutting Guild in Hosidius.|Kourend & Kebos|Skill|2318|269
322|100 Lizardmen Shaman Kills|Help the Shayzien House by killing 100 Lizardmen shamans.|Kourend & Kebos|Combat|2318|270
323|500 Lizardmen Shaman Kills|Help the Shayzien House by killing 500 Lizardmen shamans.|Kourend & Kebos|Combat|2318|271
324|1,000 Lizardmen Shaman Kills|Help the Shayzien House by killing 1,000 Lizardmen shamans.|Kourend & Kebos|Combat|2318|272
